customer_id,age,gender,city,customer_type
1,21,Female,Pune,Casual Shopper
2,25,Female,Mumbai,Trend Shopper
3,31,Female,Delhi,Trend Shopper
4,24,Female,Ahmedabad,Trend Shopper
5,35,Female,Ahmedabad,Discount Hunter
6,25,Male,Lucknow,Premium Shopper
7,18,Female,Kolkata,Premium Shopper
8,26,Female,Hyderabad,Premium Shopper
9,21,Female,Kolkata,Trend Shopper
10,29,Male,Lucknow,Premium Shopper
11,19,Male,Ahmedabad,Trend Shopper
12,30,Female,Ahmedabad,Premium Shopper
13,29,Female,Mumbai,Trend Shopper
14,25,Male,Mumbai,Casual Shopper
15,21,Male,Pune,Discount Hunter
16,29,Female,Chennai,Premium Shopper
17,24,Male,Mumbai,Casual Shopper
18,35,Female,Bangalore,Discount Hunter
19,30,Male,Ahmedabad,Casual Shopper
20,28,Female,Hyderabad,Trend Shopper
21,28,Male,Pune,Trend Shopper
22,24,Male,Hyderabad,Discount Hunter
23,30,Male,Bangalore,Premium Shopper
24,22,Female,Ahmedabad,Premium Shopper
25,31,Male,Chennai,Casual Shopper
26,22,Male,Mumbai,Trend Shopper
27,21,Female,Bangalore,Discount Hunter
28,20,Male,Kolkata,Discount Hunter
29,34,Male,Ahmedabad,Trend Shopper
30,21,Male,Chennai,Trend Shopper
31,27,Male,Bangalore,Discount Hunter
32,18,Male,Ahmedabad,Casual Shopper
33,34,Female,Pune,Casual Shopper
34,22,Male,Bangalore,Trend Shopper
35,28,Male,Delhi,Trend Shopper
36,29,Male,Hyderabad,Trend Shopper
37,25,Female,Mumbai,Discount Hunter
38,20,Female,Bangalore,Discount Hunter
39,35,Female,Pune,Discount Hunter
40,24,Female,Pune,Discount Hunter
41,29,Male,Ahmedabad,Discount Hunter
42,21,Female,Hyderabad,Trend Shopper
43,28,Female,Lucknow,Casual Shopper
44,25,Female,Mumbai,Trend Shopper
45,25,Female,Delhi,Premium Shopper
46,20,Female,Pune,Discount Hunter
47,24,Female,Lucknow,Discount Hunter
48,25,Male,Kolkata,Casual Shopper
49,21,Female,Kolkata,Premium Shopper
50,31,Male,Jaipur,Trend Shopper
51,21,Female,Kolkata,Premium Shopper
52,21,Female,Hyderabad,Casual Shopper
53,35,Male,Bangalore,Discount Hunter
54,23,Male,Jaipur,Casual Shopper
55,20,Male,Ahmedabad,Trend Shopper
56,19,Female,Mumbai,Casual Shopper
57,23,Male,Jaipur,Discount Hunter
58,24,Male,Delhi,Casual Shopper
59,30,Female,Kolkata,Premium Shopper
60,32,Male,Kolkata,Discount Hunter
61,22,Female,Pune,Casual Shopper
62,19,Female,Chennai,Trend Shopper
63,19,Male,Ahmedabad,Casual Shopper
64,19,Female,Bangalore,Trend Shopper
65,20,Female,Kolkata,Trend Shopper
66,25,Female,Lucknow,Trend Shopper
67,31,Male,Pune,Casual Shopper
68,28,Female,Pune,Discount Hunter
69,22,Male,Jaipur,Premium Shopper
70,20,Female,Jaipur,Trend Shopper
71,20,Female,Ahmedabad,Premium Shopper
72,22,Male,Mumbai,Casual Shopper
73,29,Male,Bangalore,Discount Hunter
74,35,Male,Lucknow,Trend Shopper
75,35,Male,Mumbai,Casual Shopper
76,26,Female,Mumbai,Casual Shopper
77,26,Male,Lucknow,Casual Shopper
78,28,Female,Pune,Discount Hunter
79,26,Female,Mumbai,Discount Hunter
80,26,Female,Delhi,Premium Shopper
81,22,Male,Bangalore,Discount Hunter
82,35,Male,Ahmedabad,Trend Shopper
83,21,Female,Bangalore,Trend Shopper
84,29,Female,Kolkata,Casual Shopper
85,19,Male,Chennai,Trend Shopper
86,29,Female,Hyderabad,Trend Shopper
87,29,Male,Lucknow,Casual Shopper
88,25,Female,Bangalore,Discount Hunter
89,18,Female,Chennai,Discount Hunter
90,25,Male,Bangalore,Trend Shopper
91,30,Female,Jaipur,Casual Shopper
92,24,Male,Chennai,Premium Shopper
93,25,Female,Delhi,Casual Shopper
94,30,Male,Pune,Trend Shopper
95,26,Male,Ahmedabad,Discount Hunter
96,35,Male,Delhi,Trend Shopper
97,26,Female,Lucknow,Premium Shopper
98,19,Female,Lucknow,Discount Hunter
99,29,Male,Kolkata,Trend Shopper
100,30,Female,Pune,Trend Shopper
101,31,Female,Ahmedabad,Casual Shopper
102,29,Male,Mumbai,Premium Shopper
103,28,Female,Pune,Premium Shopper
104,31,Male,Kolkata,Premium Shopper
105,35,Female,Hyderabad,Discount Hunter
106,30,Female,Lucknow,Premium Shopper
107,30,Female,Pune,Premium Shopper
108,24,Male,Lucknow,Premium Shopper
109,32,Male,Jaipur,Casual Shopper
110,34,Male,Bangalore,Trend Shopper
111,27,Male,Mumbai,Casual Shopper
112,27,Female,Hyderabad,Casual Shopper
113,18,Female,Hyderabad,Discount Hunter
114,20,Male,Kolkata,Casual Shopper
115,30,Male,Kolkata,Casual Shopper
116,22,Female,Mumbai,Discount Hunter
117,25,Female,Ahmedabad,Discount Hunter
118,19,Female,Mumbai,Discount Hunter
119,22,Male,Ahmedabad,Premium Shopper
120,32,Male,Ahmedabad,Discount Hunter
121,23,Male,Jaipur,Premium Shopper
122,25,Male,Ahmedabad,Discount Hunter
123,25,Male,Jaipur,Trend Shopper
124,27,Female,Pune,Premium Shopper
125,28,Female,Bangalore,Casual Shopper
126,25,Male,Bangalore,Casual Shopper
127,20,Male,Kolkata,Premium Shopper
128,35,Male,Kolkata,Trend Shopper
129,24,Male,Kolkata,Trend Shopper
130,30,Male,Delhi,Premium Shopper
131,27,Male,Kolkata,Casual Shopper
132,33,Female,Pune,Discount Hunter
133,33,Female,Kolkata,Premium Shopper
134,30,Female,Jaipur,Casual Shopper
135,35,Female,Kolkata,Trend Shopper
136,20,Male,Bangalore,Discount Hunter
137,23,Female,Pune,Discount Hunter
138,28,Female,Jaipur,Premium Shopper
139,28,Male,Pune,Discount Hunter
140,26,Female,Jaipur,Trend Shopper
141,35,Female,Chennai,Casual Shopper
142,20,Female,Delhi,Casual Shopper
143,24,Female,Lucknow,Casual Shopper
144,25,Female,Jaipur,Trend Shopper
145,24,Male,Pune,Premium Shopper
146,23,Female,Bangalore,Premium Shopper
147,21,Female,Pune,Discount Hunter
148,30,Female,Mumbai,Casual Shopper
149,21,Male,Lucknow,Trend Shopper
150,19,Male,Ahmedabad,Discount Hunter
151,29,Female,Ahmedabad,Premium Shopper
152,18,Male,Jaipur,Trend Shopper
153,31,Male,Jaipur,Casual Shopper
154,31,Female,Ahmedabad,Premium Shopper
155,35,Male,Jaipur,Discount Hunter
156,26,Male,Hyderabad,Trend Shopper
157,26,Male,Hyderabad,Discount Hunter
158,30,Male,Delhi,Discount Hunter
159,28,Female,Jaipur,Casual Shopper
160,29,Male,Chennai,Premium Shopper
161,26,Female,Ahmedabad,Casual Shopper
162,20,Female,Kolkata,Discount Hunter
163,35,Female,Jaipur,Discount Hunter
164,32,Female,Mumbai,Premium Shopper
165,25,Male,Hyderabad,Premium Shopper
166,29,Male,Ahmedabad,Premium Shopper
167,31,Male,Chennai,Discount Hunter
168,26,Male,Pune,Casual Shopper
169,21,Female,Chennai,Trend Shopper
170,35,Female,Hyderabad,Casual Shopper
171,33,Male,Lucknow,Premium Shopper
172,21,Female,Pune,Casual Shopper
173,29,Female,Pune,Trend Shopper
174,35,Female,Pune,Trend Shopper
175,19,Male,Bangalore,Discount Hunter
176,21,Female,Lucknow,Premium Shopper
177,33,Male,Jaipur,Premium Shopper
178,23,Female,Pune,Discount Hunter
179,21,Female,Kolkata,Discount Hunter
180,20,Female,Bangalore,Casual Shopper
181,27,Female,Hyderabad,Trend Shopper
182,35,Male,Lucknow,Casual Shopper
183,34,Male,Jaipur,Discount Hunter
184,27,Male,Pune,Trend Shopper
185,21,Female,Hyderabad,Premium Shopper
186,20,Female,Hyderabad,Casual Shopper
187,35,Female,Bangalore,Trend Shopper
188,31,Male,Lucknow,Discount Hunter
189,27,Female,Hyderabad,Premium Shopper
190,27,Male,Mumbai,Casual Shopper
191,26,Female,Kolkata,Trend Shopper
192,35,Female,Bangalore,Premium Shopper
193,22,Female,Delhi,Casual Shopper
194,27,Male,Jaipur,Trend Shopper
195,32,Male,Kolkata,Premium Shopper
196,34,Male,Jaipur,Trend Shopper
197,19,Male,Chennai,Premium Shopper
198,18,Female,Hyderabad,Trend Shopper
199,26,Female,Bangalore,Discount Hunter
200,34,Male,Pune,Casual Shopper
201,31,Male,Mumbai,Discount Hunter
202,29,Male,Chennai,Premium Shopper
203,21,Female,Chennai,Discount Hunter
204,33,Male,Kolkata,Trend Shopper
205,32,Female,Chennai,Premium Shopper
206,28,Female,Kolkata,Trend Shopper
207,35,Male,Kolkata,Trend Shopper
208,24,Male,Lucknow,Discount Hunter
209,32,Female,Hyderabad,Premium Shopper
210,35,Female,Pune,Discount Hunter
211,33,Female,Delhi,Casual Shopper
212,23,Male,Ahmedabad,Trend Shopper
213,35,Male,Mumbai,Casual Shopper
214,21,Male,Mumbai,Casual Shopper
215,33,Male,Ahmedabad,Premium Shopper
216,31,Male,Jaipur,Casual Shopper
217,32,Female,Kolkata,Casual Shopper
218,34,Female,Mumbai,Premium Shopper
219,31,Male,Ahmedabad,Premium Shopper
220,18,Male,Pune,Discount Hunter
221,22,Male,Ahmedabad,Discount Hunter
222,29,Male,Ahmedabad,Discount Hunter
223,32,Male,Hyderabad,Casual Shopper
224,30,Female,Kolkata,Trend Shopper
225,28,Male,Kolkata,Discount Hunter
226,22,Male,Delhi,Casual Shopper
227,34,Male,Mumbai,Discount Hunter
228,21,Male,Delhi,Casual Shopper
229,31,Female,Mumbai,Discount Hunter
230,26,Male,Lucknow,Discount Hunter
231,20,Male,Ahmedabad,Discount Hunter
232,28,Male,Ahmedabad,Trend Shopper
233,20,Female,Pune,Casual Shopper
234,20,Male,Mumbai,Trend Shopper
235,32,Female,Pune,Trend Shopper
236,19,Male,Delhi,Premium Shopper
237,29,Male,Kolkata,Casual Shopper
238,25,Male,Lucknow,Casual Shopper
239,23,Female,Mumbai,Discount Hunter
240,25,Male,Lucknow,Casual Shopper
241,25,Male,Pune,Discount Hunter
242,26,Female,Jaipur,Premium Shopper
243,35,Female,Mumbai,Discount Hunter
244,29,Male,Kolkata,Premium Shopper
